county,neg_deltas,total_pairs,mean_sec,stddev_sec,median_sec,min_sec,max_sec,outliers
Adams,0,230,124.86647692385787,70.77582219804869,120.423753,8.878651,299.077167,33
Alamosa,0,65,50.297932980392154,47.37635671331799,35.691351,8.601923,227.592286,14
Arapahoe,0,67,218.62454550943397,39.04928611737437,217.120902,138.079657,293.610982,14
Archuleta,0,37,122.81481456666667,14.863444145327792,123.0700205,87.674185,154.769057,7
Bent,0,30,153.0514802105263,16.223439967209302,149.721023,129.56201,187.194358,11
Boulder,0,134,148.6015158018018,72.29820317117658,119.617715,53.191449,296.101225,23
Broomfield,0,55,149.68690881132076,28.68702564275384,148.745666,105.063469,243.713399,2
Chaffee,0,86,152.33571739506172,37.252596295931994,137.082383,106.433189,267.088171,5
Cheyenne,0,19,168.16434106666668,27.41807979599616,161.468821,127.331499,219.022866,4
Clear Creek,0,70,151.92381844444444,26.695408360209665,143.05779,122.557696,245.633454,25
Conejos,0,71,178.1129293,34.13718131203626,173.6274945,116.649494,288.494841,21
Costilla,0,40,182.10653751515153,41.06798702858595,177.724105,111.89488,266.1274,7
Crowley,0,13,158.174288,53.305846735982115,134.348499,106.903533,237.547137,7
Custer,0,30,187.61714657894737,30.58953207627063,181.880119,144.122757,255.614375,11
Delta,0,82,107.54866560810811,22.16808256103023,103.5740335,70.72062,191.255082,8
Denver,0,279,65.01094236029412,37.40034880363089,55.766267,16.131951,181.4827,7
Douglas,0,72,235.21528373076924,33.42338622513734,234.7051775,181.876103,293.85667,20
Eagle,0,48,168.0960755,42.543047474301105,159.63439749999998,33.054384,278.057304,4
El Paso,0,159,172.02265444055945,30.547454853993205,167.619776,124.263422,291.050731,16
Elbert,0,22,151.90586715789473,22.88855321446165,152.171581,120.318349,195.239678,3
Fremont,0,20,115.07124910526316,48.738584028523064,102.016995,22.840153,219.417819,1
Garfield,0,116,129.2567929245283,34.939480172387356,120.354018,80.472836,289.471303,10
Gilpin,0,137,145.2234065923077,29.347434162405918,138.9701715,89.689241,275.349278,7
Grand,0,54,144.45686379069767,43.60872088669922,126.877483,84.300379,290.073298,11
Gunnison,0,45,123.64475590476191,30.94167114600376,111.98184499999999,97.918656,232.781102,3
Huerfano,0,46,128.87066989189188,33.190301744523346,114.592688,99.782111,260.412314,9
Jackson,0,39,173.26355288888888,50.482060742068846,173.64697999999999,93.020465,243.006792,21
Jefferson,0,89,206.09799554054055,52.10351928567307,203.606909,46.9779,291.943784,15
Kiowa,0,56,112.16116441818181,46.73853973114672,119.157654,9.627873,234.173249,1
Kit Carson,0,108,105.31456735238095,38.52357120083605,90.308752,12.284746,275.079981,3
La Plata,0,64,147.66243280645162,35.72936983250403,143.22687050000002,93.334682,259.89675,2
Lake,0,95,175.65656587142857,26.143672119333928,174.000156,95.31517,235.32889,25
Larimer,0,130,123.436802,56.45794189543213,103.5180435,41.763835,298.966506,6
Las Animas,0,32,174.16601852941176,46.06761025578531,160.818983,120.204115,278.081187,15
Lincoln,0,17,160.53625881818184,55.455154884894945,135.029675,114.484081,272.78944,6
Logan,0,63,167.34489944262296,34.7031951018802,155.30793,128.024587,293.806666,2
Mesa,0,63,167.1089542542373,33.456823968392435,156.87711,127.344892,284.633955,4
Mineral,0,10,181.309209375,43.50577328738687,168.726127,141.580356,273.919912,2
Moffat,0,40,148.1571393125,42.854186698365766,134.238455,102.717233,264.492979,8
Montezuma,0,53,175.6040825,41.110992861373205,167.4993195,118.600958,299.184701,9
Montrose,0,31,146.71630242857142,33.768981906281645,139.1467365,116.846794,279.225079,3
Morgan,0,36,144.39272196875,37.22951547865492,135.9578865,86.468786,273.434055,4
Ouray,0,73,106.17075848571429,24.351320859801675,98.3235695,80.435624,201.065556,3
Park,0,50,119.98861739583333,51.39795341789648,121.3587155,15.203532,260.173187,2
Phillips,0,56,245.03160255555557,31.233074443982602,241.036668,176.611724,296.506733,20
Pitkin,0,40,216.98336383870966,27.213430935912555,213.979504,166.315439,275.809796,9
Prowers,0,12,145.933188,14.095093713016523,147.45018800000003,125.429625,167.062522,2
Pueblo,0,380,133.18471341107872,83.67076370976713,137.387967,14.378484,289.637438,37
Rio Blanco,0,47,164.53383315,53.840930626194165,142.4538705,119.590633,278.687895,7
Rio Grande,0,27,163.15402913636365,53.463903781954926,139.703779,119.04126,287.254501,5
Routt,0,166,73.42303397484277,36.09927620204911,63.672524,37.630712,253.580706,7
Saguache,0,91,184.78330492647058,24.547468572369702,184.905171,130.191941,299.874288,23
San Miguel,0,27,174.1961101904762,36.197336076602426,162.414594,141.986264,292.66249,6
Sedgwick,0,62,141.4814206607143,56.21920834491748,122.0378425,82.844041,298.798517,6
Summit,0,51,134.10290009523808,29.04645808536183,127.20334249999999,91.068882,233.967425,9
Teller,0,72,127.93679894444445,30.446433701352582,125.64716999999999,21.802782,285.142974,0
Washington,0,28,89.04694757142857,32.49932792367254,78.29433,63.625976,207.700396,0
Weld,0,98,166.31971285869565,32.73103344501742,163.446033,46.28369,264.458102,6
Yuma,0,12,171.93245536363636,41.42807025053997,158.273372,133.721233,281.77538,1
